id;money;avg_salary;sal_cat;cat_exp;last_job_diff_cat;save_date_diff_cat;kmeans
272746;80000;19661.62143927133;10.0;2;4;3;5
272784;25000;19661.62143927133;8.0;1;1;1;3
272789;32532;44103.52;4.0;3;3;2;3
272795;45000;41020.74551514558;6.0;3;3;3;4
272797;50000;58706.75800173011;6.0;3;3;3;4
272803;45000;47133.04826817558;6.0;3;3;3;4
272808;25000;18673.268484144304;8.0;2;3;1;4
272810;26417;39074.652777777774;4.0;2;3;3;3
272814;43082;56570.50568055246;4.0;3;3;3;3
272820;42000;52219.023188046376;4.0;3;3;3;3
272840;40000;31546.753543667128;8.0;3;2;3;4
272850;40000;18673.268484144304;10.0;2;1;1;4
272858;35000;52219.023188046376;4.0;2;3;1;2
272873;60000;31546.753543667128;10.0;2;2;2;4
272890;55000;35644.92961792589;10.0;3;3;3;5
272891;40000;47133.04826817558;4.0;2;2;3;3
272903;33044;39975.06246281975;4.0;2;3;3;3
272924;30000;37399.327181853136;4.0;3;5;3;4
272945;50000;46948.61171439072;6.0;3;5;3;5
272965;33044;39975.06246281975;4.0;3;4;3;4
272966;40000;37177.02422145329;6.0;3;5;3;5
273020;22000;33500.0;4.0;2;4;1;3
273033;40808;57373.28283113799;4.0;3;4;3;4
273038;40000;33528.122717311904;8.0;3;1;2;4
273040;50000;40523.373220368594;8.0;2;2;2;4
273050;39283;56475.60465508518;4.0;3;5;3;4
273067;30000;59701.18884316416;2.0;2;1;3;2
273083;45000;38413.22314049587;8.0;3;2;2;4
273109;25000;30655.183935313577;4.0;3;2;1;2
273161;35000;34587.39595719382;6.0;2;2;3;3
273168;35000;34587.39595719382;6.0;3;5;1;4
273172;25000;39008.03093396788;4.0;2;3;3;3
273182;39473;54727.02763118946;4.0;2;1;2;2
273184;39473;54727.02763118946;4.0;3;3;3;3
273193;50000;47128.284023668646;6.0;3;1;3;3
273218;35000;37328.72885309749;6.0;3;1;2;3
273221;11053;17158.952477284125;4.0;1;1;1;1
273232;35000;52816.08501388721;4.0;1;1;1;1
273236;35000;42726.10882487426;4.0;3;5;3;4
273241;38000;43823.265306122456;6.0;2;4;3;4
273251;40000;33991.466858962805;8.0;3;3;3;5
273268;15000;17158.952477284125;6.0;1;1;1;2
273309;45000;40042.152767319414;6.0;3;2;3;4
273311;13761;20704.965096890544;4.0;2;2;3;3
273312;55000;48321.79930795848;6.0;2;3;2;3
273343;45000;41081.44044321329;6.0;3;5;1;4
